LPI_final	CI_low	CI_high	
1970	1	1	1
1971	0.978583836	0.941536681	1.019137098
1972	0.98415964	0.942174643	1.03044731
1973	0.966372532	0.921780195	1.015142801
1974	0.925651845	0.880381081	0.974741319
1975	0.892381274	0.84708426	0.942115692
1976	0.853046468	0.807131445	0.902616866
1977	0.823389121	0.776124136	0.873588482
1978	0.809869339	0.762248807	0.862072953
1979	0.788822277	0.739923954	0.841820077
1980	0.758337047	0.70832683	0.811893688
1981	0.752246789	0.69019192	0.826604754
1982	0.716386671	0.653299835	0.792047714
1983	0.680120395	0.617376714	0.754781281
1984	0.63217455	0.558054194	0.715908457
1985	0.616110827	0.532798296	0.710483055
1986	0.584417937	0.500373411	0.683139764
1987	0.537473384	0.455164815	0.631717394
1988	0.495230788	0.415122672	0.58850647
1989	0.481652616	0.400476598	0.575964974
1990	0.493746526	0.407192344	0.597031428
1991	0.452103906	0.369213661	0.551331896
1992	0.436449809	0.352102741	0.538574307
1993	0.431479772	0.34521089	0.536456124
1994	0.395064799	0.314799094	0.496593371
1995	0.383397102	0.302571555	0.485412304
1996	0.357649201	0.281310916	0.454347716
1997	0.332933267	0.261001325	0.425761858
1998	0.304820366	0.237326171	0.391798529
1999	0.289610974	0.224718263	0.37312232
2000	0.277155442	0.213604834	0.359926612
2001	0.259412118	0.199556369	0.337812529
2002	0.236002374	0.177557342	0.313130535
2003	0.230914646	0.172828708	0.306202115
2004	0.23345722	0.173693383	0.311858499
2005	0.209693612	0.15375325	0.285335915
2006	0.202308865	0.147619762	0.276293756
2007	0.192347982	0.139408365	0.264996216
2008	0.191034303	0.137879559	0.263554893
2009	0.191009743	0.137309796	0.264915355
2010	0.186605302	0.132892476	0.260415615
2011	0.167953369	0.117375753	0.238160139
2012	0.154784996	0.105906175	0.222955859
2013	0.149574758	0.102299274	0.217539738
2014	0.153329664	0.104058221	0.222814494
2015	0.156500523	0.106202971	0.227748502
2016	0.155070688	0.105370913	0.225240961
