LPI_final	CI_low	CI_high	
1970	1	1	1
1971	0.958698761	0.893362217	1.004823971
1972	0.964254805	0.894652477	1.01823495
1973	0.99264313	0.904407437	1.085926023
1974	0.963226937	0.86993263	1.068328675
1975	0.946154241	0.84830877	1.058571982
1976	0.93402785	0.833586897	1.051181256
1977	0.908598398	0.809345054	1.023711238
1978	0.876679795	0.777913949	0.991616699
1979	0.847087532	0.748097389	0.964125613
1980	0.831180966	0.72060498	0.965024972
1981	0.820530615	0.70595152	0.956248005
1982	0.79096343	0.671004664	0.936889043
1983	0.745668797	0.626557082	0.896651287
1984	0.708517577	0.584812649	0.866274126
1985	0.659233443	0.537729883	0.816530302
1986	0.617437965	0.498120734	0.775637718
1987	0.605015708	0.482916042	0.765142692
1988	0.580083655	0.457220307	0.745335829
1989	0.566012388	0.441014896	0.733095928
1990	0.560511546	0.43436562	0.734370409
1991	0.532291193	0.404155914	0.708256217
1992	0.538671009	0.405803445	0.722381422
1993	0.577187099	0.427286057	0.787643221
1994	0.565167755	0.406990586	0.788748989
1995	0.576289138	0.40700367	0.817371186
1996	0.556567417	0.391880405	0.791246689
1997	0.556039613	0.388142751	0.790244967
1998	0.546202576	0.38256432	0.780456511
1999	0.529135337	0.368656608	0.756893399
2000	0.542841769	0.374801041	0.780808424
2001	0.52048167	0.360777581	0.755945644
2002	0.466266216	0.310377909	0.688353911
2003	0.455198225	0.302562796	0.674895339
2004	0.450537723	0.297908493	0.676763562
2005	0.445354244	0.284777794	0.692301797
2006	0.42365697	0.269294791	0.662655005
2007	0.4267682	0.270622984	0.671345861
2008	0.445336661	0.282499499	0.703413399
2009	0.441587996	0.278013579	0.698336034
2010	0.466973192	0.293308786	0.742064654
2011	0.446630301	0.279757558	0.71219864
2012	0.414486232	0.259467741	0.661624922
2013	0.388415042	0.242885762	0.620102854
2014	0.356855191	0.223104035	0.57013179
2015	0.353893108	0.221035664	0.565588543
2016	0.354662678	0.22140645	0.566799184
