LPI_final	CI_low	CI_high	
1970	1	1	1
1971	1.063453512	1.008454436	1.143193806
1972	1.048495461	0.94600801	1.151692735
1973	1.033948242	0.928321359	1.14135116
1974	1.041746598	0.932589945	1.155660688
1975	1.072557806	0.951240296	1.203709005
1976	1.063148691	0.941801255	1.195540849
1977	1.043026199	0.922114621	1.176684644
1978	1.017915145	0.897962456	1.150489182
1979	1.015971275	0.891028362	1.151247644
1980	1.010277345	0.884000173	1.147614092
1981	0.995542165	0.87149828	1.13526314
1982	0.984938418	0.858026212	1.124642995
1983	0.954894038	0.831487269	1.091645632
1984	0.91785716	0.797824374	1.051231523
1985	0.930860349	0.789660149	1.096833797
1986	0.882199051	0.745783976	1.044458514
1987	0.852583673	0.714632794	1.016822844
1988	0.831839405	0.688415595	1.006053909
1989	0.849074441	0.698054184	1.0328033
1990	0.843823186	0.685028337	1.036095979
1991	0.781940723	0.620211498	0.980976866
1992	0.762021423	0.600327352	0.964849187
1993	0.741090839	0.580456285	0.941794468
1994	0.668835225	0.517517745	0.861214753
1995	0.688288641	0.523530404	0.89989131
1996	0.677916491	0.512576413	0.897316344
1997	0.653546293	0.487963387	0.870974557
1998	0.643116426	0.472150275	0.869759371
1999	0.613899145	0.445921227	0.838922565
2000	0.590461188	0.426642419	0.811718091
2001	0.563367309	0.406178627	0.777596775
2002	0.56323805	0.406533818	0.778633951
2003	0.568709333	0.409607501	0.790986022
2004	0.567281675	0.408958174	0.789533183
2005	0.551066182	0.396681954	0.76908657
2006	0.5325023	0.377712535	0.749751149
2007	0.523391912	0.367741645	0.741213819
2008	0.503085563	0.349780889	0.720236843
2009	0.479243755	0.3325962	0.685820942
2010	0.463348663	0.320766929	0.667119807
2011	0.458939869	0.312441482	0.668194981
2012	0.479994571	0.321408313	0.710604827
2013	0.487517008	0.32181404	0.729754513
2014	0.525624257	0.342842248	0.79849085
2015	0.524613442	0.34104493	0.798954662
2016	0.547602427	0.350389198	0.853617431
