LPI_final	CI_low	CI_high	
1970	1	1	1
1971	1.006943028	0.983815142	1.032703057
1972	1.023271879	0.968466963	1.088627583
1973	0.955478379	0.856376595	1.064901527
1974	0.8776166	0.752981464	1.012231558
1975	0.853595461	0.696771514	1.032895524
1976	0.770722786	0.620919414	0.950164354
1977	0.717865966	0.57491041	0.887674121
1978	0.702724778	0.559654807	0.875125825
1979	0.666189656	0.52981795	0.831356368
1980	0.655045673	0.517592573	0.822010685
1981	0.630261185	0.495613188	0.79495402
1982	0.590107351	0.462716381	0.748195658
1983	0.528402732	0.411051414	0.675308647
1984	0.482687003	0.373187294	0.622171701
1985	0.479843028	0.364288947	0.629914196
1986	0.445724961	0.33597808	0.592492048
1987	0.403936836	0.300856862	0.54149079
1988	0.367367168	0.271427802	0.497985289
1989	0.355708542	0.261497104	0.48474569
1990	0.34612072	0.254671781	0.473877115
1991	0.333903152	0.245839454	0.457338938
1992	0.313823279	0.229925464	0.431617945
1993	0.303481842	0.220539411	0.417149663
1994	0.282345371	0.205169162	0.388045486
1995	0.260136889	0.189050548	0.358242343
1996	0.245082364	0.177465456	0.337546774
1997	0.233291706	0.168267076	0.322369478
1998	0.215992577	0.155310007	0.300145596
1999	0.198245923	0.141335005	0.276784896
2000	0.187787316	0.13387658	0.263094408
2001	0.183908732	0.130352131	0.258489558
2002	0.162716629	0.112071279	0.235889697
2003	0.158244405	0.108586777	0.23037568
2004	0.152415866	0.103803	0.22390307
2005	0.132426547	0.089321981	0.195790558
2006	0.126916375	0.085074416	0.188788649
2007	0.116543049	0.077702659	0.174456939
2008	0.105642681	0.070342038	0.158592964
2009	0.100934035	0.066577973	0.153274751
2010	0.09334209	0.060204757	0.143954981
2011	0.077071711	0.049075531	0.121208106
2012	0.070828663	0.043999367	0.112888531
2013	0.065063711	0.040237219	0.104718362
2014	0.06246798	0.038077951	0.101757469
2015	0.067240504	0.04030797	0.112473435
2016	0.063339295	0.038039052	0.105693099
