LPI_final	CI_low	CI_high	
1970	1	1	1
1971	0.966324102	0.925147163	1.008230505
1972	1.00074528	0.910266922	1.130084485
1973	0.940590487	0.84776209	1.071255357
1974	0.8977932	0.802996625	1.027610205
1975	0.8796133	0.783251463	1.012287715
1976	0.862857948	0.764167753	0.996789317
1977	0.856364465	0.75062594	0.994887189
1978	0.877559885	0.76016087	1.032467242
1979	0.875023029	0.748824138	1.039982031
1980	0.845808388	0.718278243	1.012565117
1981	0.8543585	0.723663429	1.028232741
1982	0.840539601	0.709579047	1.012534717
1983	0.829806782	0.696416999	1.005438428
1984	0.844932487	0.704490413	1.029762596
1985	0.815008321	0.675406118	0.995733206
1986	0.81573142	0.672291036	1.002498234
1987	0.820988537	0.674169985	1.012498803
1988	0.790216062	0.644881397	0.977920593
1989	0.79101915	0.644274054	0.981874818
1990	0.787449694	0.636815899	0.979497142
1991	0.790227783	0.637919243	0.986154471
1992	0.764403804	0.614809708	0.956717632
1993	0.783124956	0.629194645	0.982304321
1994	0.777871799	0.622355978	0.981384956
1995	0.768508476	0.611905765	0.97367827
1996	0.717451466	0.566753975	0.915481934
1997	0.703280118	0.551446358	0.902687978
1998	0.695400662	0.541190107	0.894370799
1999	0.663276727	0.514129811	0.85802776
2000	0.656796696	0.507232053	0.855390849
2001	0.651494462	0.497691935	0.853009877
2002	0.633308619	0.47835664	0.836117506
2003	0.671285421	0.505001372	0.894388906
2004	0.675674152	0.50536223	0.904021481
2005	0.684613031	0.506125014	0.921966814
2006	0.674097892	0.495349443	0.919956116
2007	0.683002145	0.499185321	0.932917237
2008	0.69528134	0.506589426	0.954244285
2009	0.680726772	0.496664572	0.93664782
2010	0.679526553	0.492555531	0.940840497
2011	0.674184869	0.48654878	0.937825786
2012	0.652591611	0.466698402	0.911775047
2013	0.631352393	0.444386119	0.898674546
2014	0.658816514	0.460292085	0.947072823
2015	0.68292616	0.476052749	0.983921651
2016	0.667051981	0.461920675	0.964089675
