LPI_final	CI_low	CI_high	
1970	1	1	1
1971	0.995715505	0.948349875	1.045135303
1972	0.996179387	0.932070048	1.060341496
1973	0.972005818	0.905731767	1.047672411
1974	0.96404622	0.895234542	1.045505625
1975	0.972280833	0.89276732	1.051204749
1976	0.978696341	0.885833018	1.065157731
1977	0.986857938	0.89720537	1.081731485
1978	0.971839364	0.877589054	1.068484559
1979	0.947696764	0.851890701	1.055520293
1980	0.915100806	0.799097813	1.040332781
1981	0.903860924	0.762395944	1.031967039
1982	0.898946529	0.759247487	1.036475871
1983	0.891613054	0.738557722	1.038132462
1984	0.92897958	0.767053028	1.087495624
1985	0.947472724	0.762856764	1.120895131
1986	0.96197692	0.769688895	1.125006509
1987	1.016666075	0.80277941	1.195394423
1988	1.035033159	0.810478584	1.20424745
1989	1.028126939	0.826213856	1.225244913
1990	1.042717704	0.829239451	1.250269673
1991	0.988578912	0.743124796	1.204460948
1992	0.975761463	0.734577696	1.21820245
1993	1.019411258	0.771679597	1.301257712
1994	0.970708871	0.704481532	1.266693703
1995	0.983241103	0.679360147	1.275896214
1996	0.968991788	0.663079885	1.249255054
1997	0.990277004	0.685716889	1.322332
1998	1.037737316	0.701307513	1.358549345
1999	1.017680775	0.696698526	1.322788517
2000	0.968968661	0.652672581	1.239319316
2001	0.928326386	0.630097842	1.234582644
2002	0.833403666	0.568496952	1.184247911
2003	0.855623956	0.567996736	1.225884919
2004	0.847627432	0.567418713	1.211122017
2005	0.856192907	0.591183568	1.288048339
2006	0.817678999	0.549959558	1.229858817
2007	0.815637765	0.531266424	1.231951527
2008	0.773554907	0.491491163	1.175983799
2009	0.721400158	0.470933143	1.093838223
2010	0.726759722	0.442061218	1.191357215
2011	0.659873281	0.396751285	1.129531382
2012	0.625189904	0.368188997	1.014373397
2013	0.619201588	0.373284002	0.995813134
2014	0.64559627	0.386531288	1.071288159
2015	0.641649412	0.372732866	1.069647956
2016	0.690232784	0.394786	1.19399877
