Binomial	ID	year	popvalue
Terrapene_carolina	1077	1955	291
Dermochelys_coriacea	8957	1956	12000
Dermochelys_coriacea	8957	1957	9600
Dermochelys_coriacea	8957	1958	8900
Dermochelys_coriacea	8957	1959	8200
Uta_stansburiana	8954	1960	46
Dermochelys_coriacea	8957	1960	7700
Uta_stansburiana	8954	1961	64
Uta_stansburiana	8955	1961	72
Dermochelys_coriacea	8957	1961	7000
Uta_stansburiana	8954	1962	54
Uta_stansburiana	8955	1962	64
Dermochelys_coriacea	8957	1962	6300
Pseudemydura_umbrina	671	1963	22
Pseudemydura_umbrina	672	1963	53
Podocnemis_expansa	1089	1963	34300
Uta_stansburiana	8954	1963	39
Uta_stansburiana	8955	1963	57
Dermochelys_coriacea	8957	1963	5500
Pseudemydura_umbrina	671	1964	23
Pseudemydura_umbrina	672	1964	75
Uta_stansburiana	8954	1964	81
Uta_stansburiana	8955	1964	110
Dermochelys_coriacea	8957	1964	4800
Pseudemydura_umbrina	671	1965	18
Pseudemydura_umbrina	672	1965	97
Terrapene_carolina	1077	1965	230
Podocnemis_expansa	1089	1965	13800
Dermochelys_coriacea	8957	1965	4200
Dermochelys_coriacea	15313	1965	35.22
Caretta_caretta	15321	1965	386.79
Pseudemydura_umbrina	671	1966	17
Pseudemydura_umbrina	672	1966	102
Lepidochelys_kempii	2037	1966	6000
Uta_stansburiana	8950	1966	74
Uta_stansburiana	8951	1966	67
Uta_stansburiana	8952	1966	52
Uta_stansburiana	8953	1966	57
Dermochelys_coriacea	8957	1966	3300
Dermochelys_coriacea	15313	1966	10.44
Caretta_caretta	15321	1966	364.12
Pseudemydura_umbrina	671	1967	16
Pseudemydura_umbrina	672	1967	76
Crocodylus_niloticus	692	1967	700
Eretmochelys_imbricata	2036	1967	10
Lepidochelys_kempii	2037	1967	5500
Uta_stansburiana	8950	1967	94
Uta_stansburiana	8951	1967	88
Uta_stansburiana	8952	1967	70
Uta_stansburiana	8953	1967	50
Dermochelys_coriacea	8957	1967	2700
Clemmys_guttata	10413	1967	127
Lepidochelys_olivacea	15285	1967	2675
Dermochelys_coriacea	15313	1967	25.66
